wb_cc_dataset
country,year,greenhouse_gas_emissions,agricultural_land,co2_emissions,arable_land,agricultural_irrigated_land,cereal_yield,population_growth,urban_population,GDP
China,2020,,,,,,,,,
China,2019,585979.98046875,,,,,,,,
China,2018,617390.014648438,,,,,,,,
China,2017,623270.01953125,,,,,,,,
China,2016,574450.012207031,,,,,,,,
China,2015,596979.98046875,,,,,,,,
China,2014,597270.01953125,,,,,,,,
China,2013,580880.004882813,,,,,,,,
China,2012,667440.002441406,,,,,,,,
China,2011,668340.026855469,,,,,,,,
China,2010,566440.002441406,,,,,,,,
China,2009,593599.975585938,,,,,,,,
China,2008,578950.012207031,,,,,,,,
China,2007,606469.970703125,,,,,,,,
China,2006,603109.985351563,,,,,,,,
China,2005,560380.004882813,,,,,,,,
China,2004,597429.992675781,,,,,,,,
China,2003,539309.997558594,,,,,,,,
China,2002,619280.029296875,,,,,,,,
China,2001,624780.029296875,,,,,,,,
China,2000,596960.021972656,,,,,,,,
China,1999,572760.009765625,,,,,,,,
China,1998,536320.007324219,,,,,,,,
China,1997,507309.997558594,,,,,,,,
China,1996,500980.010986328,,,,,,,,
China,1995,503549.987792969,,,,,,,,
China,1994,495779.998779297,,,,,,,,
China,1993,489809.997558594,,,,,,,,
China,1992,487649.993896484,,,,,,,,
China,1991,486989.990234375,,,,,,,,
China,1990,487000.0,,,,,,,,
China,2020,,,,,,,,,
China,2019,12705089.84375,,,,,,,,
China,2018,12471089.84375,,,,,,,,
China,2017,12035269.53125,,,,,,,,
China,2016,11800830.078125,,,,,,,,
China,2015,11818469.7265625,,,,,,,,
China,2014,11938030.2734375,,,,,,,,
China,2013,11878030.2734375,,,,,,,,
China,2012,11385459.9609375,,,,,,,,
China,2011,11098190.4296875,,,,,,,,
China,2010,10218509.765625,,,,,,,,
China,2009,9386580.078125,,,,,,,,
China,2008,8810969.7265625,,,,,,,,
China,2007,8555799.8046875,,,,,,,,
China,2006,7946140.13671875,,,,,,,,
China,2005,7266529.78515625,,,,,,,,
China,2004,6503950.1953125,,,,,,,,
China,2003,5718040.0390625,,,,,,,,
China,2002,5068779.78515625,,,,,,,,
China,2001,4761560.05859375,,,,,,,,
China,2000,4568810.05859375,,,,,,,,
China,1999,4376500.0,,,,,,,,
China,1998,4443770.01953125,,,,,,,,
China,1997,4325689.94140625,,,,,,,,
China,1996,4330229.98046875,,,,,,,,
China,1995,4309240.234375,,,,,,,,
China,1994,3905929.93164063,,,,,,,,
China,1993,3746360.10742188,,,,,,,,
China,1992,3516610.10742188,,,,,,,,
China,1991,3387709.9609375,,,,,,,,
China,1990,3240290.0,,,,,,,,
Italy,2020,,,,,,,,,
Italy,2019,749710.021972656,,,,,,,,
Italy,2018,800960.021972656,,,,,,,,
Italy,2017,829679.992675781,,,,,,,,
